"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","10344707","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.305954702165685,10.1375252482468,-4.4481596413202,0.00108190722388543,0.0017591214894732,-1.75696942623242
"2","10344725","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",1.86001523575474,7.94794902292753,7.37588378330531,1.75293384626625e-05,6.08491058125938e-05,2.61671362510601
"3","10344750","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.132968465465316,9.50478551187294,1.36923485507029,0.199317030374107,0.2194216766049,-6.900550551186
"4","10344817","Cspp1","211660","centrosome and spindle pole associated protein 1",0.22983454840791,9.42641007101039,2.1162383947136,0.0589469539667641,0.0686137136195706,-5.8037156176262
"5","10344837","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.0584124592425201,8.29333688252286,0.230617793550253,0.822014644120063,0.834678735275974,-7.81460697977333
"6","10344897","Sulf1","240725","sulfatase 1",-1.29608348717031,7.00144754167415,-9.47846730832892,1.70936184613315e-06,1.04644286720455e-05,5.1058096541237
"7","10344924","Xkr9","381246","X-linked Kx blood group related 9",1.72319471654609,7.18159582626542,14.0291950332486,3.60997415035449e-08,6.5129012723652e-07,9.2150248315485
"8","10344952","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-1.69757875652446,11.2440566595235,-8.09068007136076,7.55344708729514e-06,3.20248487619238e-05,3.51664406147528
"9","10345058","Tmem14a","75712","transmembrane protein 14A",0.338578981072487,8.5423231719792,2.35385711321037,0.039098350316391,0.0464584705819912,-5.41003656385723
"10","10345065","Gsta3","14859","glutathione S-transferase, alpha 3",2.13691437528248,10.5285791674485,16.1997997119446,8.39982207579723e-09,2.4359484019812e-07,10.7527481319108
"11","10345074","Cetn4","207175","centrin 4",-1.25650408484829,5.52504963812608,-8.0982758102342,7.48840733069663e-06,3.19090404729516e-05,3.52589197144993
"12","10345230","Rab23","19335","RAB23, member RAS oncogene family",-0.842672929244328,9.23733478756172,-10.3053618258069,7.64672059181701e-07,5.90671339474449e-06,5.9656086324891
"13","10345241","Dst","13518","dystonin",-0.43588243424302,10.7575080925978,-4.38858890112475,0.00119114905751067,0.00191603216065504,-1.85773142235706
"14","10345423","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",-0.0790385474246484,10.3231528426677,-0.653994206897249,0.527088602699122,0.549727632284843,-7.61447606592462
